#{"t_start": 1734309366.4216466, "env_id": "None"}
r,l,t
0.93,7,66.552444
0.99,1,66.552444
0.96,4,66.553444
0.81,19,66.553444
0.98,2,66.553444
0.93,7,66.554444
0.93,7,66.556444
0.99,1,66.559774
0.96,4,66.559774
0.93,7,66.559774
0.96,4,66.559774
0.94,6,66.559774
0.99,1,66.559774
0.98,2,66.559774
0.74,26,66.559774
0.91,9,66.559774
0.95,5,66.559774
0.91,9,66.559774
0.9,10,66.559774
0.99,1,66.559774
0.99,1,66.559774
0.97,3,66.559774
0.92,8,66.559774
0.91,9,66.559774
0.97,3,66.575811
0.98,2,66.575811
0.91,9,66.575811
0.91,9,66.575811
0.98,2,66.575811
0.68,32,66.575811
0.99,1,66.575811
0.95,5,66.575811
0.87,13,66.575811
0.9,10,66.575811
0.91,9,66.575811
0.99,1,66.575811
0.96,4,66.575811
0.98,2,66.575811
0.84,16,66.575811
0.99,1,66.575811
0.95,5,66.592291
0.99,1,66.592361
0.98,2,66.592361
0.94,6,66.592361
0.97,3,66.592361
0.89,11,66.592361
0.98,2,66.592361
0.99,1,66.592361
0.99,1,66.592361
0.95,5,66.592361
0.93,7,66.592361
0.99,1,66.592361
0.97,3,66.592361
0.98,2,66.592361
0.99,1,66.592361
0.98,2,66.592361
0.97,3,66.592361
0.97,3,66.592361
0.91,9,66.592361
0.98,2,66.607989
0.93,7,66.607989
0.99,1,66.609025
0.99,1,66.609025
0.97,3,66.609025
0.9,10,66.609025
0.99,1,66.609025
0.92,8,66.609025
0.99,1,66.609025
0.99,1,66.627667
0.99,1,66.627667
0.99,1,66.627667
0.96,4,66.627667
0.99,1,66.627667
0.99,1,66.627667
0.87,13,66.627667
0.86,14,66.627667
0.99,1,66.627667
0.78,22,66.627667
0.91,9,66.627667
0.99,1,66.627667
0.85,15,66.627667
0.75,25,66.627667
0.99,1,66.627667
0.99,1,66.627667
0.95,5,66.627667
0.95,5,66.645547
0.99,1,66.645547
0.92,8,66.646546
0.94,6,66.647546
0.89,11,66.649546
0.93,7,66.649546
0.94,6,66.649546
0.7,30,66.653547
0.95,5,66.653547
0.94,6,66.655547
