#{"t_start": 1734309533.2093298, "env_id": "None"}
r,l,t
0.9,10,0.591881
0.92,8,0.59388
0.94,6,0.597879
0.62,38,0.601881
0.82,18,0.602711
0.66,34,0.602711
0.58,42,0.602711
0.84,16,0.602711
0.98,2,0.602711
0.92,8,0.602711
0.91,9,0.602711
0.78,22,0.602711
0.62,38,0.602711
0.75,25,0.602711
0.99,1,0.602711
0.94,6,0.61938
0.98,2,0.623904
0.87,13,0.626066
0.93,7,0.626066
0.8,20,0.626066
0.97,3,0.626066
0.78,22,0.626066
0.64,36,0.636163
0.95,5,0.640205
0.92,8,0.644205
0.54,46,0.650205
0.77,23,0.652206
0.64,36,0.654208
0.61,39,0.657208
0.99,1,0.658208
0.88,12,0.661208
0.79,21,0.664208
0.96,4,0.665204
0.99,1,0.666208
0.99,1,0.667205
0.6,40,0.667205
0.99,1,0.668207
0.94,6,0.669346
0.9,10,0.669346
0.64,36,0.669346
0.99,1,0.669346
0.99,1,0.669346
0.95,5,0.669346
0.9,10,0.669346
0.74,26,0.669346
0.98,2,0.669346
0.95,5,0.669346
0.93,7,0.685936
0.39,61,0.687759
0.94,6,0.688759
0.96,4,0.689759
0.37,63,0.691758
0.98,2,0.691758
0.94,6,0.694759
0.96,4,0.695756
0.19,81,0.696758
0.99,1,0.698759
0.6,40,0.698759
0.99,1,0.699759
0.8,20,0.701758
0.97,3,0.703603
0.96,4,0.703603
0.81,19,0.716601
0.87,13,0.716601
0.6,40,0.717601
0.98,2,0.720272
0.8,20,0.725271
0.76,24,0.728272
0.9,10,0.729272
0.68,32,0.730272
0.86,14,0.730272
0.51,49,0.731272
0.23,77,0.732271
0.98,2,0.733271
0.86,14,0.736071
0.89,11,0.736071
0.83,17,0.736071
0.85,15,0.752729
0.96,4,0.753875
0.94,6,0.753875
0.93,7,0.753875
0.99,1,0.753875
0.35,65,0.753875
0.68,32,0.753875
0.72,28,0.772214
0.91,9,0.775214
0.99,1,0.776214
0.87,13,0.777214
0.85,15,0.779213
0.95,5,0.784214
0.87,13,0.789181
0.45,55,0.791182
0.79,21,0.792182
0.54,46,0.792182
0.97,3,0.792182
0.96,4,0.796182
0.6,40,0.796182
0.0,101,0.796182
0.95,5,0.797182
0.99,1,0.799182
0.93,7,0.799182
0.97,3,0.800182
0.96,4,0.803318
0.8,20,0.805318
0.92,8,0.805318
0.93,7,0.806318
0.91,9,0.806318
0.25,75,0.813318
0.93,7,0.814318
0.09,91,0.814318
0.91,9,0.817317
0.98,2,0.81922
0.88,12,0.81922
0.99,1,0.820258
0.93,7,0.821258
0.95,5,0.825258
0.92,8,0.830257
0.75,25,0.831257
0.84,16,0.832257
0.75,25,0.833257
0.99,1,0.834257
0.93,7,0.836038
0.64,36,0.836038
0.9,10,0.836038
0.94,6,0.836038
0.89,11,0.836038
0.73,27,0.836038
0.9,10,0.852682
0.96,4,0.860678
0.61,39,0.860678
0.81,19,0.860678
0.83,17,0.860678
0.92,8,0.869468
0.97,3,0.869468
0.85,15,0.870509
0.99,1,0.871509
0.76,24,0.871509
0.31,69,0.873509
0.87,13,0.875508
0.94,6,0.876508
0.96,4,0.877509
0.98,2,0.878508
0.9,10,0.882509
0.9,10,0.882509
0.5,50,0.883509
0.93,7,0.889509
0.87,13,0.89051
0.0,101,0.89051
0.87,13,0.892509
0.98,2,0.893509
0.91,9,0.893509
0.95,5,0.895509
0.81,19,0.896509
0.85,15,0.89851
0.96,4,0.899509
0.47,53,0.901509
0.91,9,0.902705
0.97,3,0.902705
0.94,6,0.902705
0.96,4,0.902705
0.84,16,0.902705
0.84,16,0.902705
0.99,1,0.902705
0.89,11,0.902705
0.59,41,0.902705
0.52,48,0.902705
0.88,12,0.902705
0.92,8,0.902705
0.98,2,0.918335
0.9,10,0.920971
0.89,11,0.92197
0.88,12,0.925969
0.9,10,0.926969
0.65,35,0.927969
0.93,7,0.928969
0.85,15,0.933969
0.93,7,0.934969
0.92,8,0.934969
0.94,6,0.934969
0.63,37,0.935878
0.98,2,0.936923
0.67,33,0.941922
0.8,20,0.943923
0.83,17,0.945923
0.82,18,0.952691
0.67,33,0.952691
0.99,1,0.952691
0.76,24,0.952691
0.47,53,0.952691
0.76,24,0.952691
0.87,13,0.952691
0.74,26,0.969344
0.88,12,0.969344
0.95,5,0.97573
0.99,1,0.97573
0.62,38,0.978285
0.59,41,0.978285
0.95,5,0.978285
0.59,41,0.995142
0.86,14,0.998142
0.7,30,0.998142
0.98,2,1.000142
0.98,2,1.003137
0.72,28,1.003137
0.78,22,1.009137
0.32,68,1.013136
0.53,47,1.013136
0.98,2,1.016137
0.7,30,1.017136
0.83,17,1.020267
0.98,2,1.020267
0.8,20,1.02127
0.86,14,1.02127
0.93,7,1.022269
0.95,5,1.022269
0.99,1,1.024268
0.97,3,1.025269
0.59,41,1.028106
0.91,9,1.031103
0.89,11,1.03697
0.72,28,1.038967
0.85,15,1.039968
0.97,3,1.039968
0.99,1,1.041966
0.97,3,1.042969
0.86,14,1.047966
0.76,24,1.048966
0.91,9,1.050965
0.89,11,1.052739
0.95,5,1.052739
0.89,11,1.052739
0.31,69,1.052739
0.99,1,1.052739
0.97,3,1.052739
0.91,9,1.052739
0.66,34,1.052739
0.98,2,1.052739
0.97,3,1.068366
0.98,2,1.068366
0.59,41,1.06933
0.76,24,1.06933
0.77,23,1.06933
0.73,27,1.06933
0.62,38,1.094276
0.87,13,1.094276
0.83,17,1.10385
0.64,36,1.10685
0.91,9,1.110852
0.94,6,1.11285
0.98,2,1.11285
0.96,4,1.116851
0.99,1,1.117851
0.99,1,1.118851
0.57,43,1.118851
0.98,2,1.121849
0.72,28,1.128853
0.0,101,1.129852
0.98,2,1.131854
0.74,26,1.132852
0.82,18,1.133854
0.5,50,1.13604
0.95,5,1.13604
0.0,101,1.13604
0.99,1,1.13604
0.36,64,1.13604
0.93,7,1.13604
0.98,2,1.13604
0.89,11,1.152552
0.82,18,1.154173
0.99,1,1.154173
0.8,20,1.155171
0.99,1,1.155171
0.9,10,1.158171
0.81,19,1.158171
0.99,1,1.159172
0.96,4,1.163171
0.64,36,1.164172
0.99,1,1.165171
0.91,9,1.165171
0.95,5,1.165171
0.99,1,1.167171
0.98,2,1.168172
0.88,12,1.170265
0.91,9,1.176264
0.55,45,1.177263
0.98,2,1.180263
0.87,13,1.182263
0.74,26,1.186031
0.96,4,1.186031
0.75,25,1.186031
0.88,12,1.186031
0.0,101,1.186031
0.96,4,1.202689
0.77,23,1.211297
0.52,48,1.211297
0.53,47,1.211297
0.99,1,1.211297
0.96,4,1.211297
0.87,13,1.219179
0.92,8,1.219179
0.95,5,1.221186
0.94,6,1.225185
0.87,13,1.225185
0.75,25,1.226185
0.82,18,1.227185
0.98,2,1.228189
0.91,9,1.228189
0.92,8,1.233184
0.95,5,1.233184
0.88,12,1.233184
0.56,44,1.235184
0.9,10,1.237139
0.99,1,1.238172
0.98,2,1.240138
0.92,8,1.242137
0.84,16,1.245138
0.97,3,1.249172
0.97,3,1.252722
0.83,17,1.252722
0.73,27,1.252722
0.3,70,1.252722
0.97,3,1.252722
0.73,27,1.252722
0.79,21,1.252722
0.86,14,1.252722
0.88,12,1.252722
0.66,34,1.272374
0.95,5,1.273374
0.7,30,1.273374
0.96,4,1.277374
0.8,20,1.277374
0.29,71,1.277374
0.97,3,1.280374
0.93,7,1.281374
0.96,4,1.281374
0.99,1,1.283374
0.91,9,1.284375
0.0,101,1.287408
0.93,7,1.289409
0.9,10,1.289409
0.64,36,1.295411
0.71,29,1.296412
0.94,6,1.296412
0.72,28,1.29741
0.97,3,1.30041
0.88,12,1.302686
0.85,15,1.302686
0.92,8,1.302686
0.78,22,1.302686
0.97,3,1.302686
0.91,9,1.302686
0.96,4,1.302686
0.92,8,1.302686
0.95,5,1.302686
0.72,28,1.302686
0.7,30,1.319346
0.93,7,1.319346
0.93,7,1.324645
0.98,2,1.326824
0.98,2,1.326824
0.95,5,1.326824
0.75,25,1.326824
0.98,2,1.326824
0.9,10,1.326824
0.83,17,1.326824
0.97,3,1.33612
0.68,32,1.33612
0.95,5,1.341155
0.81,19,1.345155
0.72,28,1.348155
0.9,10,1.354977
0.91,9,1.356977
0.97,3,1.358976
0.68,32,1.359972
0.65,35,1.362976
0.96,4,1.363976
0.93,7,1.365975
0.93,7,1.369394
0.63,37,1.369394
0.98,2,1.369394
0.65,35,1.369394
0.53,47,1.369394
-0.01,101,1.369394
0.33,67,1.369394
0.99,1,1.369394
0.88,12,1.389539
0.81,19,1.389539
0.68,32,1.390538
0.88,12,1.390538
0.98,2,1.391537
0.98,2,1.391537
0.98,2,1.393537
0.99,1,1.393537
0.97,3,1.394538
0.98,2,1.397538
0.7,30,1.400536
0.93,7,1.402527
0.79,21,1.40258
0.74,26,1.40359
0.87,13,1.408587
0.99,1,1.40959
0.87,13,1.40959
0.79,21,1.40959
0.3,70,1.410591
0.89,11,1.410591
0.99,1,1.41259
0.95,5,1.418587
0.83,17,1.419311
0.88,12,1.419311
0.84,16,1.419311
0.77,23,1.419311
0.93,7,1.419311
0.73,27,1.419311
0.94,6,1.444496
0.74,26,1.444496
0.88,12,1.444496
0.72,28,1.444496
0.95,5,1.444496
0.85,15,1.444496
0.93,7,1.452497
0.99,1,1.452497
0.94,6,1.454505
0.98,2,1.454505
0.99,1,1.455507
0.57,43,1.456505
0.99,1,1.456505
0.99,1,1.457507
0.95,5,1.461507
0.99,1,1.462503
0.91,9,1.463507
0.74,26,1.464507
0.82,18,1.465504
0.94,6,1.468507
0.95,5,1.470545
0.94,6,1.470545
0.6,40,1.471545
0.27,73,1.471545
0.8,20,1.472545
0.92,8,1.476545
0.9,10,1.480545
0.81,19,1.48601
0.65,35,1.48601
0.32,68,1.48601
0.54,46,1.48601
0.81,19,1.48601
0.92,8,1.48601
0.71,29,1.504518
0.55,45,1.50652
0.62,38,1.508518
0.98,2,1.508518
0.99,1,1.50952
0.99,1,1.510519
0.86,14,1.51452
0.94,6,1.51452
0.99,1,1.51552
0.5,50,1.51919
0.96,4,1.51919
0.95,5,1.51919
0.49,51,1.51919
0.9,10,1.520246
0.67,33,1.521247
0.97,3,1.522244
0.96,4,1.523246
0.66,34,1.525245
0.99,1,1.525245
0.94,6,1.526247
0.71,29,1.527245
0.93,7,1.527245
0.96,4,1.529244
0.94,6,1.529244
0.74,26,1.530246
0.95,5,1.530246
0.91,9,1.530246
0.98,2,1.531247
0.93,7,1.536021
0.84,16,1.536021
0.97,3,1.536021
0.89,11,1.536021
0.97,3,1.536021
0.86,14,1.536021
0.94,6,1.536021
0.77,23,1.536021
0.92,8,1.536021
0.73,27,1.552649
0.99,1,1.558163
0.69,31,1.560596
0.78,22,1.560596
0.89,11,1.560596
0.92,8,1.560596
0.96,4,1.572176
0.29,71,1.573175
0.72,28,1.577174
0.91,9,1.577174
0.61,39,1.578175
0.82,18,1.585173
0.74,26,1.585173
0.89,11,1.586174
0.97,3,1.589173
0.96,4,1.591173
0.78,22,1.595173
0.81,19,1.595173
0.86,14,1.595173
0.97,3,1.598173
0.93,7,1.602665
0.58,42,1.602665
0.77,23,1.602665
0.97,3,1.602665
0.82,18,1.602665
0.85,15,1.602665
0.99,1,1.602665
0.99,1,1.602665
0.99,1,1.602665
0.83,17,1.602665
0.27,73,1.618194
0.79,21,1.620815
0.85,15,1.628812
0.92,8,1.629812
0.81,19,1.629812
0.78,22,1.630814
0.71,29,1.633812
0.94,6,1.635914
0.97,3,1.636918
0.72,28,1.644916
0.91,9,1.646916
0.71,29,1.650916
0.37,63,1.650916
0.95,5,1.651916
0.79,21,1.652724
0.8,20,1.652724
0.79,21,1.652724
0.59,41,1.652724
0.9,10,1.652724
0.99,1,1.652724
0.97,3,1.652724
0.99,1,1.652724
0.96,4,1.652724
0.9,10,1.652724
0.87,13,1.669326
0.46,54,1.669326
0.91,9,1.669326
0.98,2,1.677242
0.93,7,1.677367
0.63,37,1.677367
0.83,17,1.69185
0.89,11,1.69185
0.68,32,1.692847
0.78,22,1.695847
0.98,2,1.695847
0.66,34,1.698846
0.94,6,1.698846
0.85,15,1.699846
0.98,2,1.700846
0.9,10,1.703846
0.96,4,1.703846
0.67,33,1.705846
0.94,6,1.706846
0.97,3,1.708847
0.99,1,1.710847
0.54,46,1.710847
0.99,1,1.711847
0.94,6,1.713847
0.9,10,1.714847
0.99,1,1.715847
0.97,3,1.717847
0.84,16,1.719349
0.57,43,1.719349
0.82,18,1.719349
0.89,11,1.719349
0.82,18,1.719349
0.94,6,1.719349
0.9,10,1.719349
0.68,32,1.719349
0.99,1,1.719349
0.92,8,1.719349
0.99,1,1.719349
0.92,8,1.73758
0.93,7,1.73958
0.57,43,1.74158
0.85,15,1.74258
0.99,1,1.74258
0.88,12,1.74258
0.98,2,1.74458
0.96,4,1.74658
0.99,1,1.74758
0.18,82,1.748578
0.99,1,1.748578
0.81,19,1.748578
0.63,37,1.74958
0.95,5,1.74958
0.99,1,1.74958
0.99,1,1.75158
0.96,4,1.754585
0.9,10,1.760583
0.59,41,1.760583
0.91,9,1.760583
0.82,18,1.762585
0.76,24,1.763585
0.99,1,1.765581
0.85,15,1.766585
0.85,15,1.769197
0.92,8,1.769345
0.98,2,1.769345
0.89,11,1.769345
0.68,32,1.769345
0.55,45,1.769345
0.94,6,1.769345
0.99,1,1.769345
0.99,1,1.769345
0.85,15,1.786003
0.98,2,1.786003
0.96,4,1.786003
0.81,19,1.786003
0.99,1,1.792674
0.95,5,1.795147
0.96,4,1.795147
0.85,15,1.795147
0.7,30,1.802492
0.91,9,1.8035
0.76,24,1.804497
0.78,22,1.805497
0.99,1,1.806499
0.92,8,1.807498
0.94,6,1.810499
0.94,6,1.810499
0.89,11,1.810499
0.84,16,1.811499
0.99,1,1.811499
0.92,8,1.816499
0.89,11,1.816499
0.93,7,1.822502
0.87,13,1.823502
0.98,2,1.824497
0.9,10,1.826502
0.97,3,1.827501
0.92,8,1.834502
0.65,35,1.836032
0.71,29,1.836032
0.36,64,1.836032
0.26,74,1.836032
0.8,20,1.836032
0.96,4,1.836032
0.63,37,1.836032
0.61,39,1.851538
0.87,13,1.851538
0.96,4,1.851538
0.89,11,1.851538
