#{"t_start": 1734308162.7988536, "env_id": "None"}
r,l,t
0.89,11,1.757426
0.85,15,1.757426
0.86,14,1.757426
0.96,4,1.757426
0.97,3,1.757426
0.99,1,1.757426
0.99,1,1.757426
0.93,7,1.757426
0.99,1,1.757426
0.96,4,1.757426
0.97,3,1.757426
0.84,16,1.757426
0.99,1,1.757426
0.97,3,1.757426
0.98,2,1.757426
0.74,26,1.757426
0.94,6,1.757426
0.99,1,1.757426
0.97,3,1.757426
0.99,1,1.757426
0.91,9,1.757426
0.98,2,1.773054
0.85,15,1.773054
0.95,5,1.77574
0.93,7,1.77574
0.94,6,1.776739
0.97,3,1.776739
0.89,11,1.776739
0.99,1,1.777738
0.99,1,1.777738
0.97,3,1.779739
0.97,3,1.780738
0.83,17,1.780738
0.94,6,1.781738
0.7,30,1.782739
0.98,2,1.782739
0.91,9,1.782739
0.95,5,1.782739
0.89,11,1.783739
0.98,2,1.783739
0.98,2,1.784738
0.99,1,1.784738
0.99,1,1.785739
0.89,11,1.786739
0.95,5,1.787739
0.98,2,1.787739
0.98,2,1.788738
0.94,6,1.788738
0.9,10,1.790649
0.92,8,1.791702
0.8,20,1.792701
0.95,5,1.793701
0.85,15,1.794701
0.99,1,1.794701
0.95,5,1.795702
0.94,6,1.797701
0.97,3,1.797701
0.83,17,1.798702
0.94,6,1.798702
0.98,2,1.799702
0.99,1,1.799702
0.99,1,1.799702
0.99,1,1.800701
0.85,15,1.801701
0.99,1,1.802701
0.85,15,1.804701
0.99,1,1.805729
0.89,11,1.807525
0.96,4,1.807525
0.81,19,1.807525
0.91,9,1.807525
0.99,1,1.807525
0.97,3,1.807525
0.99,1,1.807525
0.74,26,1.807525
0.98,2,1.807525
0.9,10,1.807525
0.99,1,1.807525
0.95,5,1.807525
0.95,5,1.807525
0.75,25,1.807525
0.88,12,1.807525
0.97,3,1.807525
0.97,3,1.807525
0.93,7,1.807525
0.96,4,1.807525
0.86,14,1.807525
0.98,2,1.807525
0.98,2,1.807525
0.99,1,1.807525
0.96,4,1.807525
0.96,4,1.807525
0.99,1,1.807525
0.97,3,1.807525
0.98,2,1.807525
0.93,7,1.824079
0.94,6,1.824079
0.98,2,1.824079
0.99,1,1.824079
0.99,1,1.824079
0.99,1,1.824079
0.93,7,1.824079
0.99,1,1.833251
0.88,12,1.838071
0.9,10,1.838071
0.97,3,1.844829
0.85,15,1.845829
0.99,1,1.84783
0.95,5,1.84783
0.99,1,1.84883
0.88,12,1.85083
0.84,16,1.85083
0.98,2,1.85083
0.89,11,1.852829
0.98,2,1.852829
0.99,1,1.852829
0.88,12,1.853829
0.94,6,1.853829
0.98,2,1.85483
0.87,13,1.85483
0.95,5,1.857436
0.95,5,1.858444
0.96,4,1.859443
0.95,5,1.859443
0.92,8,1.862442
0.94,6,1.862442
0.96,4,1.863442
0.95,5,1.863442
0.73,27,1.864442
0.96,4,1.867442
0.93,7,1.869441
0.94,6,1.869441
0.95,5,1.869441
0.99,1,1.870442
0.99,1,1.871442
0.97,3,1.872441
0.99,1,1.872441
0.85,15,1.873442
0.88,12,1.874156
0.81,19,1.874156
0.94,6,1.874156
0.69,31,1.874156
0.99,1,1.874156
0.91,9,1.874156
0.82,18,1.874156
0.95,5,1.874156
0.97,3,1.874156
0.97,3,1.874156
0.98,2,1.874156
0.96,4,1.874156
0.98,2,1.874156
0.73,27,1.874156
0.91,9,1.874156
0.99,1,1.874156
0.88,12,1.874156
0.96,4,1.874156
0.97,3,1.874156
0.92,8,1.874156
0.89,11,1.874156
0.96,4,1.874156
0.99,1,1.874156
0.99,1,1.890698
0.97,3,1.890698
0.99,1,1.890698
0.98,2,1.892365
0.93,7,1.893331
0.94,6,1.894365
0.99,1,1.894365
0.98,2,1.894365
0.99,1,1.895364
0.99,1,1.895364
0.93,7,1.896364
0.91,9,1.897364
0.98,2,1.897364
0.99,1,1.898365
0.97,3,1.899329
0.91,9,1.899329
0.99,1,1.900329
0.93,7,1.901329
0.96,4,1.901329
0.77,23,1.902328
0.99,1,1.902328
0.87,13,1.902328
0.99,1,1.902328
0.95,5,1.904329
0.87,13,1.904329
0.99,1,1.904329
0.99,1,1.904329
0.99,1,1.905329
0.75,25,1.906329
0.96,4,1.90732
0.97,3,1.90732
0.93,7,1.908369
0.97,3,1.908369
0.99,1,1.908369
0.99,1,1.909368
0.94,6,1.910368
0.96,4,1.910368
0.85,15,1.911367
0.98,2,1.912367
0.88,12,1.912367
0.92,8,1.915367
0.97,3,1.915367
0.93,7,1.916367
0.99,1,1.917367
0.98,2,1.917367
0.91,9,1.917367
0.98,2,1.919367
0.93,7,1.919367
0.95,5,1.920367
0.99,1,1.920367
0.98,2,1.922368
0.97,3,1.922368
0.97,3,1.923368
0.99,1,1.923368
0.87,13,1.923368
0.99,1,1.924089
0.98,2,1.924089
0.86,14,1.924089
0.99,1,1.924089
0.99,1,1.924089
0.77,23,1.924089
0.81,19,1.924089
0.98,2,1.924089
0.89,11,1.924089
0.99,1,1.924089
0.94,6,1.924089
0.98,2,1.924089
0.98,2,1.924089
0.91,9,1.924089
0.94,6,1.924089
0.96,4,1.924089
0.91,9,1.924089
0.97,3,1.924089
0.99,1,1.924089
0.88,12,1.924089
0.98,2,1.94085
0.91,9,1.945301
0.98,2,1.945301
0.98,2,1.945301
0.88,12,1.947027
0.93,7,1.947027
0.78,22,1.947027
0.64,36,1.947964
0.99,1,1.947964
0.94,6,1.947964
0.96,4,1.947964
0.99,1,1.947964
0.99,1,1.947964
0.97,3,1.947964
0.86,14,1.947964
0.96,4,1.947964
0.95,5,1.947964
0.98,2,1.947964
0.97,3,1.947964
0.93,7,1.947964
0.98,2,1.947964
0.99,1,1.947964
0.99,1,1.957352
0.9,10,1.957592
0.92,8,1.959658
0.95,5,1.959658
0.94,6,1.959658
0.94,6,1.959658
0.95,5,1.960658
0.98,2,1.961658
0.99,1,1.961658
0.96,4,1.961658
0.91,9,1.962656
0.99,1,1.963629
0.96,4,1.964661
0.95,5,1.965658
0.99,1,1.965658
0.99,1,1.966658
0.95,5,1.967663
0.96,4,1.967663
0.95,5,1.968658
0.98,2,1.970658
0.9,10,1.970658
0.91,9,1.975626
0.76,24,1.975626
0.81,19,1.975626
0.93,7,1.977659
0.98,2,1.977659
0.9,10,1.979659
0.85,15,1.979659
0.88,12,1.98066
0.99,1,1.98066
0.99,1,1.981659
0.89,11,1.981659
0.94,6,1.982658
0.96,4,1.982658
0.89,11,1.982658
0.96,4,1.984643
0.97,3,1.984643
0.99,1,1.984643
0.99,1,1.985626
0.78,22,1.985626
0.99,1,1.985626
0.96,4,1.986625
0.97,3,1.986625
0.99,1,1.987625
0.98,2,1.988625
0.97,3,1.988625
0.98,2,1.989625
0.87,13,1.990754
0.94,6,1.990754
0.96,4,1.990754
0.9,10,1.990754
0.98,2,1.990754
0.97,3,1.990754
0.99,1,1.990754
