#{"t_start": 1734308162.811527, "env_id": "None"}
r,l,t
0.99,1,94.800181
0.96,4,94.80118
0.95,5,94.80118
0.99,1,94.804181
0.98,2,94.804181
0.91,9,94.808181
0.91,9,94.808181
0.93,7,94.80918
0.97,3,94.812181
0.9,10,94.812181
0.91,9,94.812181
0.97,3,94.812181
0.98,2,94.813181
0.98,2,94.813181
0.98,2,94.813181
0.99,1,94.813181
0.99,1,94.814181
0.77,23,94.81718
0.99,1,94.81718
0.96,4,94.81718
0.78,22,94.81718
0.98,2,94.81718
0.99,1,94.81718
0.82,18,94.82118
0.92,8,94.82118
0.93,7,94.822181
0.94,6,94.822255
0.98,2,94.822255
0.99,1,94.82326
0.97,3,94.82326
0.09,91,94.826322
0.99,1,94.827326
0.99,1,94.830326
0.86,14,94.831326
0.85,15,94.831326
0.84,16,94.833326
0.99,1,94.833326
0.99,1,94.834326
0.94,6,94.834326
0.99,1,94.834326
0.99,1,94.835326
0.88,12,94.835326
0.86,14,94.837326
0.98,2,94.838326
0.96,4,94.839326
0.93,7,94.839326
0.96,4,94.839326
0.99,1,94.841326
0.99,1,94.842326
0.98,2,94.843326
0.73,27,94.843326
0.88,12,94.843326
0.98,2,94.847326
0.77,23,94.847326
0.96,4,94.848326
0.91,9,94.848326
0.95,5,94.850327
0.98,2,94.850327
0.96,4,94.851326
0.98,2,94.851326
0.89,11,94.852327
0.88,12,94.852327
0.97,3,94.855326
0.98,2,94.856327
0.95,5,94.857327
0.99,1,94.857327
0.99,1,94.859326
0.78,22,94.859326
0.92,8,94.859326
0.45,55,94.861327
0.97,3,94.861327
0.99,1,94.863326
0.95,5,94.864326
0.86,14,94.864326
0.99,1,94.864326
0.99,1,94.865326
0.99,1,94.865326
0.93,7,94.865326
0.99,1,94.866326
0.92,8,94.866326
0.99,1,94.868326
0.98,2,94.869327
0.98,2,94.869327
0.81,19,94.869327
0.96,4,94.870327
0.92,8,94.870327
0.98,2,94.872394
0.97,3,94.874513
0.97,3,94.874513
0.91,9,94.874513
0.99,1,94.874513
0.76,24,94.877545
0.97,3,94.878549
0.91,9,94.878549
0.74,26,94.882545
0.93,7,94.882545
0.96,4,94.882545
0.98,2,94.883545
0.96,4,94.886555
0.9,10,94.886555
0.39,61,94.887545
0.99,1,94.887545
0.99,1,94.887545
0.84,16,94.890545
0.93,7,94.890545
0.76,24,94.890545
0.88,12,94.891545
0.93,7,94.891545
0.99,1,94.891545
0.8,20,94.892545
0.99,1,94.89854
0.95,5,94.89854
0.95,5,94.899542
0.97,3,94.899542
0.99,1,94.899542
0.96,4,94.899542
0.99,1,94.90054
0.98,2,94.90054
0.96,4,94.903542
0.8,20,94.903542
0.97,3,94.90454
0.99,1,94.90454
0.99,1,94.90554
0.86,14,94.90554
0.94,6,94.90554
0.95,5,94.907542
0.9,10,94.907542
0.99,1,94.907542
0.99,1,94.907542
0.98,2,94.90854
0.92,8,94.90854
0.94,6,94.909543
