#{"t_start": 1732679110.856416, "env_id": "StopOnColorGame-v0"}
r,l,t
0.0,3,183.500031
0.0,12,183.500031
0.0,1,183.509743
1.0,1,183.510783
0.0,1,183.511783
0.0,1,183.512785
0.0,4,183.515782
0.0,5,183.518781
1.0,8,183.524782
0.0,2,183.525782
1.0,1,183.526749
0.0,1,183.527782
0.0,11,183.535782
0.0,1,183.535782
0.0,3,183.538782
0.0,19,183.543244
0.0,4,183.543244
0.0,1,183.543244
1.0,2,183.543244
1.0,5,183.560426
0.0,2,183.562461
0.0,1,183.563463
0.0,3,183.56546
0.0,2,183.566461
0.0,1,183.567461
0.0,4,183.570463
0.0,3,183.572463
1.0,5,183.576504
0.0,5,183.579815
0.0,7,183.584815
0.0,1,183.584815
0.0,8,183.590817
0.0,3,183.593148
1.0,2,183.594436
0.0,1,183.595434
0.0,25,183.615625
0.0,10,183.616428
1.0,15,183.63354
0.0,2,183.63554
0.0,1,183.63554
0.0,1,183.63654
1.0,3,183.638541
0.0,6,183.643507
0.0,7,183.648538
0.0,1,183.648538
0.0,5,183.65254
0.0,5,183.656541
1.0,1,183.656541
1.0,2,183.65854
0.0,1,183.65954
1.0,7,183.659908
0.0,19,183.677102
0.0,10,183.684165
1.0,4,183.687167
0.0,3,183.690168
0.0,1,183.690168
0.0,2,183.692168
1.0,2,183.693201
0.0,2,183.695277
0.0,3,183.697276
1.0,1,183.698276
0.0,3,183.700276
1.0,6,183.704277
0.0,10,183.709867
1.0,2,183.709867
0.0,2,183.709867
0.0,2,183.709867
0.0,4,183.709867
1.0,8,183.709867
0.0,1,183.725406
0.0,5,183.732106
0.0,3,183.735137
0.0,2,183.736134
0.0,3,183.738138
1.0,2,183.740137
0.0,3,183.742136
0.0,5,183.745129
0.0,1,183.745129
0.0,14,183.745129
1.0,7,183.761841
1.0,1,183.762844
0.0,7,183.767845
1.0,6,183.771845
0.0,1,183.772841
1.0,13,183.781778
1.0,11,183.789778
0.0,2,183.790779
0.0,6,183.795886
1.0,8,183.800887
0.0,1,183.801888
1.0,1,183.802886
0.0,2,183.803891
0.0,4,183.806886
0.0,4,183.809928
1.0,1,183.810971
0.0,4,183.813968
0.0,4,183.815973
1.0,4,183.818967
0.0,5,183.822971
1.0,5,183.826531
0.0,4,183.826531
0.0,6,183.826531
1.0,2,183.826531
1.0,1,183.826531
1.0,1,183.826531
1.0,8,183.84207
0.0,1,183.84207
0.0,1,183.84207
0.0,13,183.850896
1.0,1,183.850896
0.0,10,183.865744
1.0,2,183.867747
1.0,3,183.869745
0.0,5,183.873745
0.0,2,183.874745
0.0,5,183.878745
1.0,5,183.882744
1.0,11,185.07197
0.0,4,185.074971
0.0,3,185.078046
0.0,5,185.082044
1.0,2,185.084044
0.0,4,185.087044
0.0,15,185.099128
0.0,4,185.102128
1.0,3,185.105129
0.0,4,185.10813
0.0,7,185.109739
0.0,2,185.109739
0.0,2,185.109739
1.0,10,185.125245
0.0,3,185.132215
0.0,4,185.134191
0.0,3,185.134191
1.0,9,185.146797
1.0,1,185.147798
0.0,7,185.152797
0.0,10,185.161049
0.0,4,185.164049
0.0,16,185.177953
0.0,3,185.179953
1.0,1,185.180954
0.0,6,185.186961
0.0,4,185.189953
0.0,4,185.19387
1.0,4,185.196916
0.0,3,185.199916
0.0,2,185.201916
0.0,5,185.205913
1.0,2,185.207911
1.0,5,185.212837
1.0,2,185.214837
0.0,1,185.215837
0.0,10,185.224836
0.0,2,185.226417
0.0,7,185.226417
0.0,1,185.226417
0.0,6,185.226417
0.0,3,185.226417
1.0,3,185.249038
0.0,1,185.250045
1.0,11,185.259723
0.0,1,185.260732
0.0,13,185.270729
1.0,5,185.274732
1.0,1,185.27573
0.0,2,185.276731
1.0,5,185.280729
0.0,3,185.28273
0.0,12,185.291732
0.0,6,185.29307
1.0,1,185.29307
0.0,1,185.29307
0.0,13,185.29307
0.0,5,185.310381
0.0,2,185.312418
1.0,2,185.314417
0.0,1,185.314417
0.0,4,185.317416
0.0,1,185.318416
0.0,4,185.321439
0.0,1,185.322417
1.0,2,185.324417
0.0,2,185.325417
0.0,6,185.33055
1.0,2,185.33155
0.0,2,185.333576
1.0,5,185.336576
0.0,1,185.33755
0.0,10,185.34537
0.0,6,185.349368
0.0,2,185.351368
1.0,1,185.352368
0.0,10,185.362895
0.0,4,185.366952
