#{"t_start": 1734309366.4329534, "env_id": "None"}
r,l,t
0.84,16,87.147298
0.92,8,87.147298
0.96,4,87.147298
0.99,1,87.147298
0.99,1,87.16403
0.96,4,87.16403
0.97,3,87.16403
0.96,4,87.16403
0.75,25,87.16403
0.91,9,87.16403
0.94,6,87.16403
0.8,20,87.16403
0.77,23,87.16403
0.99,1,87.16403
0.98,2,87.16403
0.99,1,87.16403
0.89,11,87.16403
0.9,10,87.16403
0.91,9,87.16403
0.99,1,87.16403
0.99,1,87.181605
0.98,2,87.181605
0.99,1,87.182858
0.94,6,87.182858
0.89,11,87.182858
0.99,1,87.182858
0.91,9,87.182858
0.86,14,87.182858
0.98,2,87.182858
0.99,1,87.182858
0.99,1,87.182858
0.99,1,87.182858
0.97,3,87.182858
0.93,7,87.182858
0.9,10,87.182858
0.94,6,87.182858
0.99,1,87.182858
0.93,7,87.182858
0.95,5,87.199851
0.99,1,87.199851
0.99,1,87.199851
0.94,6,87.199851
0.99,1,87.199851
0.98,2,87.199851
0.92,8,87.199851
0.97,3,87.199851
0.84,16,87.199851
0.9,10,87.199851
0.98,2,87.199851
0.99,1,87.199851
0.96,4,87.199851
0.98,2,87.199851
0.99,1,87.199851
0.97,3,87.199851
0.97,3,87.199851
0.99,1,87.199851
0.98,2,87.199851
0.75,25,87.199851
0.95,5,87.199851
0.98,2,87.214648
0.98,2,87.215693
0.79,21,87.216692
0.92,8,87.216692
0.75,25,87.219692
0.99,1,87.219692
0.95,5,87.220692
0.86,14,87.220692
0.9,10,87.221692
0.99,1,87.221692
0.94,6,87.221692
0.89,11,87.223692
0.99,1,87.223692
0.83,17,87.223692
0.94,6,87.224692
0.98,2,87.224692
0.45,55,87.225703
0.99,1,87.225703
0.99,1,87.228692
0.96,4,87.228692
0.92,8,87.228692
0.98,2,87.229692
0.97,3,87.229692
0.99,1,87.229692
0.89,11,87.230533
0.99,1,87.230533
0.99,1,87.230533
0.99,1,87.233385
0.92,8,87.233385
0.98,2,87.233385
0.99,1,87.234385
0.96,4,87.238385
0.83,17,87.238385
0.88,12,87.238385
0.85,15,87.239385
0.93,7,87.239385
0.98,2,87.239385
0.99,1,87.239385
0.94,6,87.240385
0.91,9,87.243385
0.99,1,87.243385
0.96,4,87.244385
0.96,4,87.244385
0.9,10,87.244385
0.92,8,87.247325
0.82,18,87.247325
0.94,6,87.247325
0.95,5,87.247325
0.93,7,87.247325
0.95,5,87.247325
0.73,27,87.247325
0.97,3,87.247325
0.99,1,87.247325
0.87,13,87.247325
0.99,1,87.247325
0.93,7,87.247325
0.97,3,87.247325
0.98,2,87.247325
0.99,1,87.247325
0.85,15,87.247325
0.99,1,87.247325
0.93,7,87.247325
0.99,1,87.262954
0.79,21,87.263963
0.95,5,87.263963
0.99,1,87.263963
0.93,7,87.263963
0.92,8,87.263963
0.98,2,87.263963
0.92,8,87.263963
0.99,1,87.263963
0.99,1,87.263963
0.99,1,87.263963
0.96,4,87.263963
0.97,3,87.263963
0.82,18,87.263963
0.86,14,87.263963
0.76,24,87.263963
0.85,15,87.263963
0.97,3,87.263963
0.96,4,87.263963
0.96,4,87.263963
0.87,13,87.263963
0.92,8,87.283159
0.91,9,87.283159
0.84,16,87.283159
0.94,6,87.283159
0.91,9,87.283159
0.84,16,87.283159
0.99,1,87.283159
0.98,2,87.283159
0.99,1,87.297201
0.97,3,87.298211
0.95,5,87.299746
0.84,16,87.299746
0.97,3,87.299746
0.99,1,87.299746
0.84,16,87.299746
0.82,18,87.299746
0.96,4,87.299746
0.98,2,87.299746
0.98,2,87.299746
0.95,5,87.299746
0.99,1,87.314285
0.93,7,87.314285
0.98,2,87.316327
0.97,3,87.316327
0.82,18,87.320328
0.67,33,87.320328
0.9,10,87.320328
0.96,4,87.320328
0.64,36,87.323328
0.99,1,87.323328
0.98,2,87.323328
0.99,1,87.324328
0.94,6,87.328327
0.94,6,87.329328
0.7,30,87.332784
0.62,38,87.332784
0.92,8,87.332784
0.91,9,87.334785
0.97,3,87.334785
0.79,21,87.334785
0.98,2,87.338784
0.97,3,87.338784
0.97,3,87.339784
0.98,2,87.339784
0.93,7,87.339784
0.99,1,87.342784
0.88,12,87.343784
0.98,2,87.348126
0.7,30,87.348126
0.95,5,87.348126
0.87,13,87.348126
0.91,9,87.348126
0.92,8,87.348126
0.98,2,87.348126
0.97,3,87.348126
0.97,3,87.348126
0.73,27,87.348126
0.92,8,87.348126
0.99,1,87.348126
0.97,3,87.348126
0.97,3,87.348126
0.69,31,87.348126
0.97,3,87.348126
0.97,3,87.348126
0.99,1,87.348126
0.95,5,87.348126
0.99,1,87.348126
0.97,3,87.348126
0.98,2,87.348126
0.94,6,87.348126
0.98,2,87.364067
0.93,7,87.364067
0.71,29,87.364067
0.99,1,87.364067
0.89,11,87.364067
0.88,12,87.364067
0.97,3,87.364067
0.99,1,87.364067
0.99,1,87.364067
0.98,2,87.364067
0.85,15,87.364067
0.99,1,87.364067
0.83,17,87.364067
0.98,2,87.364067
0.99,1,87.380995
0.9,10,87.380995
0.99,1,87.380995
0.96,4,87.380995
0.78,22,87.380995
0.99,1,87.380995
0.9,10,87.380995
0.99,1,87.380995
0.97,3,87.380995
0.88,12,87.380995
0.97,3,87.380995
0.99,1,87.380995
0.99,1,87.380995
0.99,1,87.380995
0.97,3,87.380995
0.82,18,87.380995
0.97,3,87.380995
0.99,1,87.397373
0.99,1,87.397373
0.69,31,87.397373
0.99,1,87.397373
0.73,27,87.397373
0.99,1,87.397373
0.92,8,87.397373
0.91,9,87.397373
0.99,1,87.397373
0.99,1,87.397373
0.97,3,87.397373
0.99,1,87.397373
0.99,1,87.397373
0.81,19,87.415868
0.92,8,87.415868
0.99,1,87.415868
0.96,4,87.415868
0.84,16,87.415868
0.86,14,87.415868
0.96,4,87.415868
0.72,28,87.415868
0.63,37,87.415868
0.98,2,87.415868
0.96,4,87.415868
0.97,3,87.415868
0.96,4,87.415868
0.99,1,87.415868
0.95,5,87.415868
0.98,2,87.430729
0.97,3,87.434847
0.95,5,87.434847
0.99,1,87.434847
0.91,9,87.434847
0.99,1,87.437846
0.92,8,87.437846
0.99,1,87.438846
0.97,3,87.438846
0.98,2,87.438846
0.73,27,87.438846
0.99,1,87.439846
0.98,2,87.443846
0.83,17,87.443846
0.95,5,87.443846
0.86,14,87.444846
0.94,6,87.444846
0.99,1,87.444846
0.99,1,87.447418
0.9,10,87.447418
0.99,1,87.448461
0.97,3,87.448461
0.99,1,87.44946
0.63,37,87.452463
0.98,2,87.452463
0.98,2,87.453461
0.99,1,87.453461
0.88,12,87.454459
0.93,7,87.454459
0.91,9,87.454459
0.94,6,87.454459
0.99,1,87.456459
0.99,1,87.456459
0.98,2,87.456459
0.99,1,87.459459
0.44,56,87.459459
0.89,11,87.460458
0.99,1,87.460458
0.97,3,87.460458
