#{"t_start": 1734309366.4073398, "env_id": "None"}
r,l,t
0.82,18,0.285552
0.99,1,0.285552
0.96,4,0.286552
0.99,1,0.286552
0.99,1,0.286552
0.98,2,0.287552
0.98,2,0.288551
0.94,6,0.288551
0.88,12,0.290551
0.9,10,0.290551
0.97,3,0.292552
0.84,16,0.292552
0.89,11,0.293552
0.98,2,0.294552
0.93,7,0.294552
0.98,2,0.295552
0.97,3,0.295552
0.94,6,0.295552
0.99,1,0.296552
0.99,1,0.296552
0.9,10,0.297551
0.9,10,0.298552
0.98,2,0.298552
0.99,1,0.299551
0.97,3,0.299551
0.99,1,0.299551
0.98,2,0.301552
0.92,8,0.302552
0.99,1,0.303551
0.93,7,0.304551
0.95,5,0.304551
0.99,1,0.305552
0.88,12,0.306552
0.94,6,0.30807
0.83,17,0.30807
0.82,18,0.30807
0.76,24,0.30807
0.88,12,0.30807
0.97,3,0.30807
0.9,10,0.30807
0.82,18,0.30807
0.99,1,0.30807
0.93,7,0.30807
0.98,2,0.30807
0.96,4,0.30807
0.99,1,0.30807
0.98,2,0.30807
0.91,9,0.30807
0.98,2,0.30807
0.97,3,0.30807
0.97,3,0.30807
0.97,3,0.30807
0.87,13,0.30807
0.99,1,0.30807
0.95,5,0.30807
0.87,13,0.30807
0.98,2,0.323602
0.95,5,0.323602
0.97,3,0.323602
0.94,6,0.32511
0.97,3,0.32511
0.94,6,0.32511
0.87,13,0.327145
0.98,2,0.327145
0.83,17,0.32814
0.99,1,0.32814
0.97,3,0.32814
0.99,1,0.330142
0.9,10,0.330142
0.93,7,0.33114
0.98,2,0.332141
0.74,26,0.332141
0.91,9,0.33314
0.99,1,0.33314
0.95,5,0.33414
0.89,11,0.335141
0.93,7,0.335141
0.93,7,0.336141
0.92,8,0.338144
0.98,2,0.338144
0.95,5,0.339141
0.98,2,0.34011
0.95,5,0.34011
0.91,9,0.34119
0.91,9,0.342218
0.96,4,0.342218
0.98,2,0.344216
0.91,9,0.344216
0.99,1,0.345217
0.99,1,0.346216
0.95,5,0.347217
0.91,9,0.349216
0.97,3,0.350216
0.96,4,0.350216
0.94,6,0.350216
0.99,1,0.350216
0.99,1,0.351216
0.87,13,0.352216
0.99,1,0.353216
0.97,3,0.353216
0.99,1,0.355216
0.77,23,0.355216
0.99,1,0.356216
0.98,2,0.356216
0.99,1,0.356216
0.95,5,0.356216
0.98,2,0.35791
0.82,18,0.35791
0.97,3,0.35791
0.99,1,0.35791
0.66,34,0.35791
0.99,1,0.35791
0.72,28,0.35791
0.99,1,0.35791
0.89,11,0.35791
0.98,2,0.35791
0.99,1,0.35791
0.94,6,0.35791
0.77,23,0.35791
0.92,8,0.35791
0.98,2,0.35791
0.89,11,0.35791
0.83,17,0.35791
0.97,3,0.35791
0.96,4,0.35791
0.99,1,0.35791
0.94,6,0.35791
0.96,4,0.35791
0.9,10,0.35791
0.99,1,0.35791
0.98,2,0.35791
0.94,6,0.37459
0.97,3,0.37459
0.88,12,0.37459
0.91,9,0.380296
0.93,7,0.380296
0.99,1,0.381844
0.79,21,0.38282
0.99,1,0.38282
0.97,3,0.38282
0.97,3,0.38282
0.94,6,0.38282
0.9,10,0.38282
0.99,1,0.38282
0.91,9,0.38282
0.98,2,0.38282
0.99,1,0.38282
0.97,3,0.38282
0.91,9,0.38282
0.99,1,0.38282
0.89,11,0.391195
0.96,4,0.391195
0.96,4,0.391195
0.95,5,0.392203
0.93,7,0.394201
0.9,10,0.394201
0.83,17,0.394201
0.99,1,0.395202
0.92,8,0.395202
0.96,4,0.395202
0.98,2,0.396201
0.93,7,0.398203
0.95,5,0.399201
0.92,8,0.400201
0.96,4,0.400201
0.94,6,0.401201
0.94,6,0.401201
0.87,13,0.402201
0.96,4,0.402201
0.98,2,0.402201
0.92,8,0.403202
0.98,2,0.404201
0.7,30,0.404201
0.99,1,0.405201
0.97,3,0.405201
0.96,4,0.406201
0.99,1,0.406201
0.92,8,0.407201
0.98,2,0.407201
0.99,1,0.407969
0.96,4,0.407969
0.99,1,0.407969
0.91,9,0.409048
0.99,1,0.409048
0.99,1,0.409048
0.82,18,0.409048
0.93,7,0.410044
0.98,2,0.411058
0.9,10,0.412045
0.95,5,0.412045
0.98,2,0.413013
0.95,5,0.414012
0.99,1,0.414012
0.99,1,0.415012
0.94,6,0.416012
0.93,7,0.416012
0.98,2,0.418012
0.92,8,0.418012
0.99,1,0.418012
0.99,1,0.419012
0.98,2,0.420012
0.89,11,0.420012
0.91,9,0.421012
0.98,2,0.421012
0.97,3,0.421012
0.92,8,0.423012
0.78,22,0.424012
0.97,3,0.424012
0.99,1,0.424012
0.99,1,0.424642
0.93,7,0.424642
0.92,8,0.424642
0.95,5,0.424642
0.99,1,0.424642
0.96,4,0.424642
0.9,10,0.424642
0.82,18,0.424642
0.99,1,0.424642
0.76,24,0.424642
0.84,16,0.424642
0.97,3,0.424642
0.94,6,0.424642
0.95,5,0.424642
0.95,5,0.424642
0.99,1,0.424642
0.93,7,0.424642
0.95,5,0.424642
0.97,3,0.424642
0.99,1,0.424642
0.86,14,0.424642
0.9,10,0.424642
0.97,3,0.424642
0.8,20,0.424642
0.96,4,0.424642
0.97,3,0.441214
0.99,1,0.441214
0.97,3,0.442248
